0.00 	 -nan	 -nan 	  -nan
0.01 	 -nan	 -nan 	  -nan
1.52 	 3.37	 0.10 	  0.76
1.53 	 3.37	 0.10 	  0.76
1.54 	 3.37	 0.10 	  0.77
1.55 	 3.37	 0.11 	  0.78
1.56 	 3.36	 0.11 	  0.78
1.57 	 3.36	 0.11 	  0.79
1.58 	 3.36	 0.11 	  0.79
1.59 	 3.36	 0.11 	  0.80
1.60 	 3.35	 0.11 	  0.81
1.61 	 3.35	 0.12 	  0.81
1.62 	 3.35	 0.12 	  0.82
1.63 	 3.35	 0.12 	  0.83
1.64 	 3.34	 0.12 	  0.83
1.65 	 3.34	 0.12 	  0.84
1.66 	 3.34	 0.13 	  0.84
1.67 	 3.33	 0.13 	  0.85
1.68 	 3.33	 0.13 	  0.86
1.69 	 3.33	 0.13 	  0.86
1.70 	 3.33	 0.13 	  0.87
1.71 	 3.32	 0.14 	  0.87
1.72 	 3.32	 0.14 	  0.88
1.73 	 3.32	 0.14 	  0.89
1.74 	 3.31	 0.14 	  0.89
1.75 	 3.31	 0.14 	  0.90
1.76 	 3.31	 0.15 	  0.90
1.77 	 3.30	 0.15 	  0.91
1.78 	 3.30	 0.15 	  0.92
1.79 	 3.30	 0.15 	  0.92
1.80 	 3.30	 0.15 	  0.93
1.81 	 3.29	 0.16 	  0.93
1.82 	 3.29	 0.16 	  0.94
1.83 	 3.29	 0.16 	  0.94
1.84 	 3.28	 0.16 	  0.95
1.85 	 3.28	 0.16 	  0.95
1.86 	 3.28	 0.17 	  0.96
1.87 	 3.27	 0.17 	  0.97
1.88 	 3.27	 0.17 	  0.97
1.89 	 3.27	 0.17 	  0.98
1.90 	 3.26	 0.18 	  0.98
1.91 	 3.26	 0.18 	  0.99
1.92 	 3.26	 0.18 	  0.99
1.93 	 3.25	 0.18 	  1.00
1.94 	 3.25	 0.18 	  1.00
1.95 	 3.24	 0.19 	  1.01
1.96 	 3.24	 0.19 	  1.01
1.97 	 3.24	 0.19 	  1.02
1.98 	 3.23	 0.19 	  1.02
1.99 	 3.23	 0.20 	  1.03
2.00 	 3.23	 0.20 	  1.03
2.01 	 3.22	 0.20 	  1.04
2.02 	 3.22	 0.20 	  1.04
2.03 	 3.21	 0.21 	  1.05
2.04 	 3.21	 0.21 	  1.05
2.05 	 3.21	 0.21 	  1.06
2.06 	 3.20	 0.21 	  1.06
2.07 	 3.20	 0.22 	  1.07
2.08 	 3.19	 0.22 	  1.07
2.09 	 3.19	 0.22 	  1.07
2.10 	 3.19	 0.22 	  1.08
2.11 	 3.18	 0.23 	  1.08
2.12 	 3.18	 0.23 	  1.09
2.13 	 3.17	 0.23 	  1.09
2.14 	 3.17	 0.23 	  1.10
2.15 	 3.17	 0.24 	  1.10
2.16 	 3.16	 0.24 	  1.10
2.17 	 3.16	 0.24 	  1.11
2.18 	 3.15	 0.24 	  1.11
2.19 	 3.15	 0.25 	  1.12
2.20 	 3.14	 0.25 	  1.12
2.21 	 3.14	 0.25 	  1.12
2.22 	 3.14	 0.25 	  1.13
2.23 	 3.13	 0.26 	  1.13
2.24 	 3.13	 0.26 	  1.13
2.25 	 3.12	 0.26 	  1.14
2.26 	 3.12	 0.27 	  1.14
2.27 	 3.11	 0.27 	  1.14
2.28 	 3.11	 0.27 	  1.15
2.29 	 3.10	 0.27 	  1.15
2.30 	 3.10	 0.28 	  1.15
2.31 	 3.09	 0.28 	  1.15
2.32 	 3.09	 0.28 	  1.16
2.33 	 3.08	 0.28 	  1.16
2.34 	 3.08	 0.29 	  1.16
2.35 	 3.07	 0.29 	  1.17
2.36 	 3.07	 0.29 	  1.17
2.37 	 3.06	 0.30 	  1.17
2.38 	 3.06	 0.30 	  1.17
2.39 	 3.05	 0.30 	  1.17
2.40 	 3.05	 0.30 	  1.18
2.41 	 3.04	 0.31 	  1.18
2.42 	 3.04	 0.31 	  1.18
2.43 	 3.03	 0.31 	  1.18
2.44 	 3.03	 0.32 	  1.18
2.45 	 3.02	 0.32 	  1.19
2.46 	 3.02	 0.32 	  1.19
2.47 	 3.01	 0.32 	  1.19
2.48 	 3.00	 0.33 	  1.19
2.49 	 3.00	 0.33 	  1.19
2.50 	 2.99	 0.33 	  1.19
2.51 	 2.99	 0.34 	  1.19
2.52 	 2.98	 0.34 	  1.20
2.53 	 2.98	 0.34 	  1.20
2.54 	 2.97	 0.34 	  1.20
2.55 	 2.97	 0.35 	  1.20
2.56 	 2.96	 0.35 	  1.20
2.57 	 2.95	 0.35 	  1.20
2.58 	 2.95	 0.36 	  1.20
2.59 	 2.94	 0.36 	  1.20
2.60 	 2.94	 0.36 	  1.20
2.61 	 2.93	 0.37 	  1.20
2.62 	 2.92	 0.37 	  1.20
2.63 	 2.92	 0.37 	  1.20
2.64 	 2.91	 0.37 	  1.20
2.65 	 2.90	 0.38 	  1.20
2.66 	 2.90	 0.38 	  1.20
2.67 	 2.89	 0.38 	  1.20
2.68 	 2.89	 0.39 	  1.20
2.69 	 2.88	 0.39 	  1.20
2.70 	 2.87	 0.39 	  1.20
2.71 	 2.87	 0.39 	  1.20
2.72 	 2.86	 0.40 	  1.20
2.73 	 2.85	 0.40 	  1.20
2.74 	 2.85	 0.40 	  1.19
2.75 	 2.84	 0.41 	  1.19
2.76 	 2.83	 0.41 	  1.19
2.77 	 2.83	 0.41 	  1.19
2.78 	 2.82	 0.42 	  1.19
2.79 	 2.81	 0.42 	  1.19
2.80 	 2.81	 0.42 	  1.19
2.81 	 2.80	 0.42 	  1.18
2.82 	 2.79	 0.43 	  1.18
2.83 	 2.78	 0.43 	  1.18
2.84 	 2.78	 0.43 	  1.18
2.85 	 2.77	 0.44 	  1.17
2.86 	 2.76	 0.44 	  1.17
2.87 	 2.75	 0.44 	  1.17
2.88 	 2.75	 0.45 	  1.17
2.89 	 2.74	 0.45 	  1.16
2.90 	 2.73	 0.45 	  1.16
2.91 	 2.72	 0.45 	  1.16
2.92 	 2.72	 0.46 	  1.16
2.93 	 2.71	 0.46 	  1.15
2.94 	 2.70	 0.46 	  1.15
2.95 	 2.69	 0.47 	  1.15
2.96 	 2.69	 0.47 	  1.14
2.97 	 2.68	 0.47 	  1.14
2.98 	 2.67	 0.47 	  1.13
2.99 	 2.66	 0.48 	  1.13
3.00 	 2.65	 0.48 	  1.13
3.01 	 2.64	 0.48 	  1.12
3.02 	 2.64	 0.49 	  1.12
3.03 	 2.63	 0.49 	  1.11
3.04 	 2.62	 0.49 	  1.11
3.05 	 2.61	 0.49 	  1.11
3.06 	 2.60	 0.50 	  1.10
3.07 	 2.59	 0.50 	  1.10
3.08 	 2.59	 0.50 	  1.09
3.09 	 2.58	 0.51 	  1.09
3.10 	 2.57	 0.51 	  1.08
3.11 	 2.56	 0.51 	  1.08
3.12 	 2.55	 0.51 	  1.07
3.13 	 2.54	 0.52 	  1.07
3.14 	 2.53	 0.52 	  1.06
3.15 	 2.52	 0.52 	  1.05
3.16 	 2.51	 0.52 	  1.05
3.17 	 2.50	 0.53 	  1.04
3.18 	 2.49	 0.53 	  1.04
3.19 	 2.49	 0.53 	  1.03
3.20 	 2.48	 0.53 	  1.02
3.21 	 2.47	 0.54 	  1.02
3.22 	 2.46	 0.54 	  1.01
3.23 	 2.45	 0.54 	  1.01
3.24 	 2.44	 0.55 	  1.00
3.25 	 2.43	 0.55 	  0.99
3.26 	 2.42	 0.55 	  0.99
3.27 	 2.41	 0.55 	  0.98
3.28 	 2.40	 0.55 	  0.97
3.29 	 2.39	 0.56 	  0.96
3.30 	 2.38	 0.56 	  0.96
3.31 	 2.37	 0.56 	  0.95
3.32 	 2.35	 0.56 	  0.94
3.33 	 2.34	 0.57 	  0.93
3.34 	 2.33	 0.57 	  0.93
3.35 	 2.32	 0.57 	  0.92
3.36 	 2.31	 0.57 	  0.91
3.37 	 2.30	 0.58 	  0.90
3.38 	 2.29	 0.58 	  0.90
3.39 	 2.28	 0.58 	  0.89
3.40 	 2.27	 0.58 	  0.88
3.41 	 2.26	 0.58 	  0.87
3.42 	 2.24	 0.59 	  0.86
3.43 	 2.23	 0.59 	  0.85
3.44 	 2.22	 0.59 	  0.84
3.45 	 2.21	 0.59 	  0.84
3.46 	 2.20	 0.59 	  0.83
3.47 	 2.18	 0.59 	  0.82
3.48 	 2.17	 0.60 	  0.81
3.49 	 2.16	 0.60 	  0.80
3.50 	 2.15	 0.60 	  0.79
3.51 	 2.14	 0.60 	  0.78
3.52 	 2.12	 0.60 	  0.77
3.53 	 2.11	 0.60 	  0.76
3.54 	 2.10	 0.61 	  0.75
3.55 	 2.08	 0.61 	  0.74
3.56 	 2.07	 0.61 	  0.73
3.57 	 2.06	 0.61 	  0.72
3.58 	 2.04	 0.61 	  0.71
3.59 	 2.03	 0.61 	  0.70
3.60 	 2.02	 0.61 	  0.69
3.61 	 2.00	 0.61 	  0.68
3.62 	 1.99	 0.62 	  0.67
3.63 	 1.97	 0.62 	  0.66
3.64 	 1.96	 0.62 	  0.65
3.65 	 1.95	 0.62 	  0.64
3.66 	 1.93	 0.62 	  0.63
3.67 	 1.92	 0.62 	  0.62
3.68 	 1.90	 0.62 	  0.61
3.69 	 1.89	 0.62 	  0.60
3.70 	 1.87	 0.62 	  0.59
3.71 	 1.85	 0.62 	  0.58
3.72 	 1.84	 0.62 	  0.56
3.73 	 1.82	 0.62 	  0.55
3.74 	 1.81	 0.62 	  0.54
3.75 	 1.79	 0.62 	  0.53
3.76 	 1.77	 0.62 	  0.52
3.77 	 1.76	 0.62 	  0.51
3.78 	 1.74	 0.62 	  0.50
3.79 	 1.72	 0.62 	  0.49
3.80 	 1.71	 0.62 	  0.47
3.81 	 1.69	 0.62 	  0.46
3.82 	 1.67	 0.62 	  0.45
3.83 	 1.65	 0.62 	  0.44
3.84 	 1.63	 0.62 	  0.43
3.85 	 1.61	 0.61 	  0.42
3.86 	 1.60	 0.61 	  0.40
3.87 	 1.58	 0.61 	  0.39
3.88 	 1.56	 0.61 	  0.38
